ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A3543905,441,33681295,162,,,POINT,198716,,Data1,Data9,,1,Data3,179,,H,,,,m/s,,,,seven,Data1,Test Data 37,21
A2614238,794,32307132,33,,,POINT,353628,,Data3,Data4,,,Data2,5577,,H,0,,,m/s,,,,seven,Data1,Test Data 78,16
A1736616,101,70106573,5,,,POINT,15215,,Data8,Data6,,,Data6,9611,,,,,,m/s,,,,two,Data9,Test Data 70,53
A6185883,207,48187443,154,,,POINT,355716,,Data8,Data9,,1,Data5,8527,,H,,,,m/s,,,,,Data4,Test Data 65,94
A6527068,652,55383943,184,,,POINT,821000,,Data2,Data8,CYCLE,1,Data9,5398,,H,UNSPECIFIED,,,m/s,,,,one,Data4,Test Data 12,30
A29557,362,55729098,112,,,POINT,963463,,Data4,Data3,,1,Data3,5643,,,,,,m/s,,,,zero,Data3,Test Data 29,88
A1033402,297,34322300,136,,,POINT,307970,,Data2,Data4,,,Data6,6160,,H,,,,m/s,,,,three,Data6,Test Data 37,89
A9147503,355,51188120,241,,,POINT,618496,,Data6,Data7,,,Data8,2225,,H,0,,,m/s,,,,zero,Data9,Test Data 3,40
A9199471,697,31689531,231,,,POINT,991813,,Data4,Data9,,1,Data7,1173,,H,,,,m/s,,,,four,Data5,Test Data 55,3
A6907546,767,18533676,23,,,POINT,220988,,Data1,Data9,CYCLE,,Data3,4830,,,0,,,m/s,,,,five,Data8,Test Data 93,24
A7039766,714,77843114,143,,,POINT,569415,,Data9,Data2,CYCLE,1,Data6,644,,H,,,,m/s,,,,seven,Data9,Test Data 63,45
A1421025,574,36707748,149,,,POINT,580181,,Data9,Data7,CYCLE,1,Data9,1553,,H,6001,,,m/s,,,,five,Data1,Test Data 72,34
A6923432,565,51150914,10,,,POINT,152965,,Data8,Data7,,1,Data4,720,,H,,,,m/s,,,,,Data7,Test Data 41,28
A7516108,89,79369685,28,,,POINT,181548,,Data7,Data1,CYCLE,,Data9,8012,,H,9001,,,m/s,,,,three,Data3,Test Data 29,61
A900677,399,11267041,120,,,POINT,662060,,Data2,Data2,,,Data6,5027,,,0,,,m/s,,,,four,Data7,Test Data 54,17
A8730950,154,93589589,247,,,POINT,7298,,Data2,Data8,,1,Data3,2970,,H,,,,m/s,,,,one,Data3,Test Data 82,29
A9085375,226,77910213,31,,,POINT,416407,,Data6,Data6,CYCLE,1,Data1,4926,,,,,,m/s,,,,three,Data9,Test Data 17,15
A406594,333,9538006,124,,,POINT,744725,,Data5,Data9,,,Data1,6772,,H,,,,m/s,,,,,Data9,Test Data 45,83
