ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A2900845,707,66859816,198,,,POINT,430191,,Data4,Data4,CYCLE,1,Data8,6697,,,,,,m/s,,,,seven,Data6,Test Data 15,86
A8618927,948,50269651,15,,,POINT,930781,,Data7,Data1,CYCLE,,Data6,4053,,H,UNSPECIFIED,,,m/s,,,,zero,Data2,Test Data 50,92
A3602575,310,73244792,83,,,POINT,255399,,Data6,Data1,CYCLE,,Data1,6364,,,,,,m/s,,,,five,Data7,Test Data 59,86
A4003442,368,39102146,78,,,POINT,291087,,Data6,Data1,CYCLE,1,Data2,4640,,H,,,,m/s,,,,two,Data8,Test Data 42,83
A9331857,85,82074784,102,,,POINT,940349,,Data3,Data3,,1,Data1,5710,,H,0,,,m/s,,,,,Data4,Test Data 61,16
A5695886,708,17946032,224,,,POINT,525272,,Data8,Data6,,,Data1,5075,,,0,,,m/s,,,,five,Data1,Test Data 24,33
A5883822,863,31736655,75,,,POINT,916942,,Data5,Data6,,1,Data2,5107,,,9001,,,m/s,,,,five,Data1,Test Data 71,47
A9865670,634,42994584,135,,,POINT,734180,,Data2,Data1,,1,Data6,3766,,H,,,,m/s,,,,,Data8,Test Data 79,6
A32612,583,98895880,126,,,POINT,387449,,Data2,Data8,CYCLE,,Data9,4593,,,0,,,m/s,,,,,Data6,Test Data 55,3
A8302396,924,38090891,134,,,POINT,677955,,Data3,Data6,,,Data9,6181,,H,6001,,,m/s,,,,,Data7,Test Data 5,98
A9586836,901,65699810,34,,,POINT,152845,,Data1,Data4,,1,Data8,4412,,H,,,,m/s,,,,,Data5,Test Data 14,59
A2949964,213,60822637,190,,,POINT,680838,,Data5,Data3,,1,Data1,9084,,,0,,,m/s,,,,three,Data2,Test Data 39,86
A3429728,904,81587706,52,,,POINT,367890,,Data3,Data4,,1,Data6,4721,,H,6001,,,m/s,,,,four,Data4,Test Data 23,96
A9719539,233,36460384,65,,,POINT,733249,,Data7,Data2,,,Data1,9902,,H,9001,,,m/s,,,,,Data2,Test Data 49,39
A9558277,659,90146315,4,,,POINT,75134,,Data4,Data6,,,Data1,3550,,,UNSPECIFIED,,,m/s,,,,seven,Data6,Test Data 74,15
A6211495,37,23514143,227,,,POINT,345073,,Data5,Data8,,,Data1,510,,H,6001,,,m/s,,,,,Data8,Test Data 27,58
A8949061,944,8333085,218,,,POINT,150075,,Data5,Data6,CYCLE,,Data6,4023,,H,0,,,m/s,,,,one,Data4,Test Data 18,46
A775438,116,81038637,206,,,POINT,396439,,Data3,Data9,,1,Data1,7235,,,,,,m/s,,,,,Data1,Test Data 3,13
A8997787,852,18775167,125,,,POINT,777579,,Data6,Data1,,,Data2,3650,,H,6001,,,m/s,,,,,Data6,Test Data 21,41
A2775234,335,10889828,192,,,POINT,592871,,Data3,Data4,CYCLE,1,Data6,2985,,H,6001,,,m/s,,,,four,Data5,Test Data 6,27
A3796703,399,80211872,42,,,POINT,194542,,Data4,Data1,CYCLE,1,Data2,5909,,,9001,,,m/s,,,,one,Data8,Test Data 59,72
A693451,968,17470827,27,,,POINT,980684,,Data3,Data3,CYCLE,1,Data3,1774,,,,,,m/s,,,,,Data3,Test Data 12,60
A8605003,403,47453313,57,,,POINT,865252,,Data2,Data8,,1,Data9,4417,,H,6001,,,m/s,,,,,Data7,Test Data 54,62
A756865,225,27012652,200,,,POINT,68975,,Data5,Data2,,1,Data3,9017,,,UNSPECIFIED,,,m/s,,,,five,Data1,Test Data 28,46
A914065,820,19121318,181,,,POINT,47863,,Data3,Data2,,1,Data9,463,,H,0,,,m/s,,,,six,Data4,Test Data 8,88
A3971984,603,64333165,233,,,POINT,122490,,Data3,Data1,,1,Data8,8679,,,6001,,,m/s,,,,six,Data4,Test Data 9,79
A1510896,565,24228142,92,,,POINT,929132,,Data9,Data8,,,Data2,8615,,,UNSPECIFIED,,,m/s,,,,one,Data2,Test Data 91,81
A5285237,906,47944739,197,,,POINT,631607,,Data2,Data6,,,Data7,2170,,H,UNSPECIFIED,,,m/s,,,,,Data6,Test Data 7,74
A9783284,859,67019303,152,,,POINT,945910,,Data4,Data2,CYCLE,,Data8,8713,,,9001,,,m/s,,,,,Data3,Test Data 13,82
A7522129,743,8188137,132,,,POINT,974538,,Data9,Data3,,1,Data7,3083,,,6001,,,m/s,,,,seven,Data9,Test Data 97,78
A8822834,294,73794941,12,,,POINT,887719,,Data1,Data7,,1,Data5,2616,,H,0,,,m/s,,,,,Data6,Test Data 18,45
A2716890,516,88012889,210,,,POINT,46535,,Data3,Data8,,1,Data6,2510,,,9001,,,m/s,,,,zero,Data3,Test Data 79,19
