ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A196906,211,51767774,167,,,POINT,746222,,Data9,Data2,CYCLE,1,Data9,784,,H,0,,,m/s,,,,,Data2,Test Data 14,3
A2659571,598,12993699,102,,,POINT,681698,,Data4,Data1,,1,Data7,13,,H,0,,,m/s,,,,one,Data9,Test Data 68,91
A3544970,991,2312110,228,,,POINT,235583,,Data5,Data5,,1,Data4,7559,,H,,,,m/s,,,,,Data4,Test Data 61,75
A844619,847,17629825,55,,,POINT,268916,,Data6,Data6,,,Data8,792,,H,UNSPECIFIED,,,m/s,,,,three,Data4,Test Data 4,79
A3836632,604,16627234,4,,,POINT,866312,,Data5,Data8,CYCLE,,Data6,2265,,,UNSPECIFIED,,,m/s,,,,two,Data5,Test Data 43,50
A9500698,456,86489108,144,,,POINT,74673,,Data2,Data6,CYCLE,1,Data7,1562,,H,6001,,,m/s,,,,three,Data5,Test Data 76,55
A945901,96,874172,159,,,POINT,906057,,Data5,Data2,,,Data8,8875,,,9001,,,m/s,,,,four,Data3,Test Data 82,20
A8800421,208,95119949,61,,,POINT,218115,,Data5,Data3,,,Data6,1509,,H,6001,,,m/s,,,,,Data4,Test Data 38,23
A3121783,810,79864978,130,,,POINT,881115,,Data5,Data8,,1,Data2,7796,,H,,,,m/s,,,,,Data4,Test Data 81,99
A7338099,395,30331920,120,,,POINT,547137,,Data2,Data4,,,Data3,2593,,,,,,m/s,,,,,Data4,Test Data 61,42
A3834423,1,33083816,136,,,POINT,981541,,Data8,Data6,,1,Data8,3871,,,9001,,,m/s,,,,five,Data6,Test Data 9,88
A8758766,228,30618690,89,,,POINT,284999,,Data1,Data6,,1,Data8,6453,,H,,,,m/s,,,,,Data4,Test Data 86,37
A1628481,43,41848601,60,,,POINT,820547,,Data6,Data8,CYCLE,,Data7,2830,,H,0,,,m/s,,,,five,Data2,Test Data 77,39
A3359041,190,95582329,200,,,POINT,733463,,Data2,Data3,,1,Data5,6373,,,0,,,m/s,,,,four,Data1,Test Data 90,23
A2061543,407,90821241,107,,,POINT,663233,,Data8,Data2,,,Data5,7708,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 96,61
A2829919,936,21974234,108,,,POINT,790857,,Data6,Data6,,,Data1,6773,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 95,73
A1026910,169,21558535,65,,,POINT,354433,,Data3,Data4,,,Data7,2837,,,0,,,m/s,,,,seven,Data2,Test Data 97,75
A3255260,293,51288231,9,,,POINT,90283,,Data5,Data5,,,Data4,2696,,H,,,,m/s,,,,seven,Data3,Test Data 45,84
A9770256,553,61830144,237,,,POINT,33249,,Data6,Data6,,1,Data8,7680,,,9001,,,m/s,,,,three,Data8,Test Data 90,40
A6114382,917,94010245,1,,,POINT,227835,,Data7,Data9,,,Data2,5203,,,6001,,,m/s,,,,three,Data5,Test Data 33,7
A6772048,656,61914776,135,,,POINT,851524,,Data6,Data6,CYCLE,1,Data2,5808,,H,UNSPECIFIED,,,m/s,,,,five,Data2,Test Data 33,71
A6271767,618,49346071,90,,,POINT,235488,,Data7,Data5,,1,Data2,4098,,,UNSPECIFIED,,,m/s,,,,five,Data5,Test Data 18,48
A5645211,167,25505700,151,,,POINT,924453,,Data1,Data9,,,Data4,997,,H,UNSPECIFIED,,,m/s,,,,six,Data8,Test Data 24,97
A760471,890,78038607,126,,,POINT,962267,,Data4,Data5,,,Data3,3499,,,,,,m/s,,,,,Data2,Test Data 76,81
A5282143,166,6133556,233,,,POINT,899698,,Data7,Data1,CYCLE,1,Data4,3535,,H,0,,,m/s,,,,,Data6,Test Data 24,61
A2027235,671,85729368,174,,,POINT,977639,,Data6,Data6,,1,Data2,1405,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 57,72
A5525571,665,69267191,161,,,POINT,418060,,Data9,Data9,,1,Data3,7250,,,,,,m/s,,,,,Data6,Test Data 35,63
A4601619,710,57939511,77,,,POINT,399569,,Data7,Data5,CYCLE,1,Data7,5289,,H,0,,,m/s,,,,four,Data6,Test Data 90,49
A8274354,745,97365799,37,,,POINT,592905,,Data6,Data4,,1,Data8,9042,,,,,,m/s,,,,six,Data8,Test Data 58,63
A9184813,272,27307878,21,,,POINT,219682,,Data2,Data5,CYCLE,1,Data6,4079,,,9001,,,m/s,,,,three,Data1,Test Data 41,94
A1508716,849,64095370,18,,,POINT,344485,,Data4,Data2,,1,Data8,6005,,,9001,,,m/s,,,,four,Data8,Test Data 84,42
A3889868,315,64628528,95,,,POINT,269725,,Data1,Data2,CYCLE,1,Data1,329,,H,,,,m/s,,,,three,Data5,Test Data 7,9
A2174580,550,9449215,193,,,POINT,708384,,Data2,Data8,,1,Data7,183,,,,,,m/s,,,,six,Data9,Test Data 83,10
A729418,61,26763926,224,,,POINT,721663,,Data4,Data5,,1,Data8,3545,,,9001,,,m/s,,,,zero,Data6,Test Data 16,54
A8045843,36,98816852,108,,,POINT,631174,,Data9,Data1,CYCLE,1,Data7,9987,,,9001,,,m/s,,,,,Data8,Test Data 14,47
A5251275,535,41120145,37,,,POINT,881995,,Data2,Data2,,,Data9,4462,,H,0,,,m/s,,,,six,Data6,Test Data 40,31
A2431588,372,17458508,59,,,POINT,559669,,Data3,Data7,,1,Data9,2114,,H,,,,m/s,,,,four,Data6,Test Data 2,58
A9324224,156,43017343,197,,,POINT,444459,,Data3,Data4,CYCLE,,Data7,5845,,,,,,m/s,,,,,Data1,Test Data 1,40
A5503244,466,66674225,218,,,POINT,412110,,Data2,Data1,,1,Data2,2054,,H,9001,,,m/s,,,,zero,Data4,Test Data 70,59
A1189074,623,70120676,162,,,POINT,653958,,Data6,Data3,,1,Data4,8984,,H,,,,m/s,,,,one,Data4,Test Data 78,91
A765930,573,99861100,135,,,POINT,118327,,Data3,Data4,CYCLE,1,Data1,2285,,H,6001,,,m/s,,,,four,Data9,Test Data 44,76
A4302573,652,75134414,69,,,POINT,132760,,Data8,Data8,,1,Data9,7504,,H,,,,m/s,,,,five,Data3,Test Data 42,30
A7219183,831,98386459,133,,,POINT,730354,,Data4,Data4,,1,Data2,891,,H,,,,m/s,,,,,Data3,Test Data 34,7
A7361847,902,30449597,243,,,POINT,445083,,Data1,Data8,,,Data1,3950,,,0,,,m/s,,,,one,Data3,Test Data 42,100
A8303881,524,32882242,112,,,POINT,176978,,Data9,Data5,,1,Data3,395,,H,UNSPECIFIED,,,m/s,,,,,Data6,Test Data 63,92
A2515001,63,76632182,217,,,POINT,215708,,Data6,Data4,CYCLE,,Data3,6512,,H,9001,,,m/s,,,,four,Data7,Test Data 39,21
A6909818,175,98860394,96,,,POINT,213783,,Data1,Data8,,,Data3,1479,,H,UNSPECIFIED,,,m/s,,,,two,Data1,Test Data 60,10
A8785774,975,67757116,26,,,POINT,304365,,Data3,Data5,,1,Data4,4538,,H,,,,m/s,,,,six,Data9,Test Data 95,68
A323954,398,24926174,106,,,POINT,509894,,Data8,Data9,CYCLE,1,Data8,9129,,,6001,,,m/s,,,,,Data7,Test Data 18,48
A9195237,787,69170745,171,,,POINT,80090,,Data5,Data9,,1,Data8,514,,H,UNSPECIFIED,,,m/s,,,,four,Data2,Test Data 61,29
A2602081,838,28678311,110,,,POINT,181199,,Data8,Data8,,1,Data6,8967,,H,6001,,,m/s,,,,,Data9,Test Data 53,37
A8899623,914,84797577,91,,,POINT,870917,,Data3,Data3,,,Data6,4746,,H,UNSPECIFIED,,,m/s,,,,seven,Data5,Test Data 4,80
A5893744,476,87307537,92,,,POINT,562309,,Data6,Data7,,1,Data7,5414,,H,,,,m/s,,,,,Data2,Test Data 59,95
A6809775,667,43825453,42,,,POINT,434328,,Data8,Data6,CYCLE,,Data2,9279,,H,0,,,m/s,,,,,Data6,Test Data 63,12
A5332374,372,58316701,62,,,POINT,120883,,Data3,Data9,,,Data9,9747,,,,,,m/s,,,,zero,Data1,Test Data 10,76
A2597542,855,61579269,197,,,POINT,577345,,Data1,Data8,,1,Data3,2871,,,,,,m/s,,,,,Data9,Test Data 73,61
A7721089,86,41242123,48,,,POINT,95153,,Data8,Data6,,,Data2,6841,,,,,,m/s,,,,five,Data7,Test Data 9,50
A6296125,227,32727216,169,,,POINT,418995,,Data8,Data3,,1,Data3,8155,,H,UNSPECIFIED,,,m/s,,,,seven,Data7,Test Data 30,36
A5995959,420,65250112,66,,,POINT,363098,,Data4,Data4,CYCLE,1,Data9,3943,,H,,,,m/s,,,,three,Data8,Test Data 71,20
A514110,806,25770251,16,,,POINT,549140,,Data3,Data8,,,Data4,715,,,9001,,,m/s,,,,,Data9,Test Data 46,85
A369448,185,6256183,218,,,POINT,838904,,Data3,Data1,CYCLE,1,Data4,9409,,H,9001,,,m/s,,,,one,Data6,Test Data 24,54
A2800887,119,49455730,68,,,POINT,258333,,Data1,Data2,,1,Data9,2466,,,0,,,m/s,,,,,Data2,Test Data 79,60
