ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Result Comments,Subject User Number 3,Check
A1234567,1001,10011001,1,,,POINT,1234957,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011001,1,,,POINT,1234958,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011001,1,,,POINT,1234959,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2; To be done on Wednesday,,Data 17,25
A1234567,1001,10011002,2,,,POINT,1234964,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011002,2,,,POINT,1234965,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011002,2,,,POINT,1234966,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011002,2,,,POINT,1234968,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,R2D2,,Data 17,31
A1234567,1001,10011003,3,,,POINT,1234971,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011003,3,,,POINT,1234972,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011003,3,,,POINT,1234973,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,25
A1234567,1001,10011005,4,,,POINT,1234985,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011005,4,,,POINT,1234986,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011005,4,,,POINT,1234987,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,2; Delay,,Data 17,25
A1234567,1001,10011006,6,,,POINT,1234992,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011006,6,,,POINT,1234993,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,24
A1234567,1001,10011006,6,,,POINT,1234994,,Data6,Data7,CYCLE,1,Data10,21,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,25
A1234567,1001,10011006,6,,,POINT,1234995,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,26
A1234567,1001,10011006,6,,,POINT,1234996,,Data6,Data7,,,Data10,9001,,H,9001,,,m/s,,,,2,,Data 17,31
A1234567,1001,10011007,5,,,POINT,1234999,,Data6,Data7,,,Data10,9999,,H,UNSPECIFIED,,,m/s,,,,,,Data 17,23
A1234567,1001,10011007,5,,,POINT,1235000,,Data6,Data7,CYCLE,1,Data10,8,,H,UNSPECIFIED,,,m/s,,,,2,,Data 17,24
